run_day,Leaf mass: g 0,Leaf mass: g 50,Leaf mass: g 100,Leaf mass: g 150,Leaf mass: g 200
199,1.565600,2.140000,0.932100,3.858800,2.259400
200,1.565600,2.140000,0.932100,3.858800,2.259400
201,1.565600,2.140000,0.932100,3.858800,2.259400
202,1.565600,2.140000,0.932100,3.858800,2.259400
203,1.565600,2.140000,0.932100,3.858800,2.259400
204,1.565600,2.140000,0.932100,3.858800,2.259400
205,1.565600,2.140000,0.932100,3.858800,2.259400
206,1.565600,2.140000,0.932100,3.858800,2.259400
207,1.565600,2.140000,0.932100,3.858800,2.259400
208,1.565600,2.140000,0.932100,3.858800,2.259400
209,1.565600,2.140000,0.932100,3.858800,2.259400
210,1.565600,2.140000,0.932100,3.858800,2.259400
211,1.565600,2.140000,0.932100,3.858800,2.259400
212,1.565600,2.140000,0.932100,3.858800,2.259400
213,1.565600,2.140000,0.932100,3.858800,2.259400
214,1.565600,2.140000,0.932100,3.858800,2.259400
215,1.565600,2.140000,0.932100,3.858800,2.259400
216,1.565600,2.140000,0.932100,3.858800,2.259400
217,1.565600,2.140000,0.932100,3.858800,2.259400
218,1.565600,2.140000,0.932100,3.858800,2.259400
219,1.565600,2.140000,0.932100,3.858800,2.259400
220,1.565600,2.140000,0.932100,3.858800,2.259400
221,1.565600,2.140000,0.932100,3.858800,2.259400
222,1.565600,2.140000,0.932100,3.858800,2.259400
223,1.565600,2.140000,0.932100,3.858800,2.259400
224,1.565600,2.140000,0.932100,3.858800,2.259400
225,1.565600,2.140000,0.932100,3.858800,2.259400
226,1.565600,2.140000,0.932100,3.858800,2.259400
227,1.565600,2.140000,0.932100,3.858800,2.259400
228,1.565600,2.140000,0.932100,3.858800,2.259400
229,1.565600,2.140000,0.932100,3.858800,2.259400
230,1.565600,2.140000,0.932100,3.858800,2.259400
231,1.565600,2.140000,0.932100,3.858800,2.259400
232,1.565600,2.140000,0.932100,3.858800,2.259400
233,1.565600,2.140000,0.932100,3.858800,2.259400
234,1.565600,2.140000,0.932100,3.858800,2.259400
235,1.565600,2.140000,0.932100,3.858800,2.259400
236,1.565600,2.140000,0.932100,3.858800,2.259400
237,1.565600,2.140000,0.932100,3.858800,2.259400
238,1.565600,2.140000,0.932100,3.858800,2.259400
239,1.565600,2.140000,0.932100,3.858800,2.259400
240,1.565600,2.140000,0.932100,3.858800,2.259400
241,1.565600,2.140000,0.932100,3.858800,2.259400
242,1.565600,2.140000,0.932100,3.858800,2.259400
243,1.565600,2.140000,0.932100,3.858800,2.259400
244,1.565600,2.140000,0.932100,3.858800,2.259400
245,1.565600,2.140000,0.932100,3.858800,2.259400
246,1.565600,2.140000,0.932100,3.858800,2.259400
247,1.565600,2.140000,0.932100,3.858800,2.259400
248,1.565600,2.140000,0.932100,3.858800,2.259400
249,1.565600,2.140000,0.932100,3.858800,2.259400
250,1.565600,2.140000,0.932100,3.858800,2.259400
251,1.565600,2.140000,0.932100,3.858800,2.259400
252,1.565600,2.140000,0.932100,3.858800,2.259400
253,1.565600,2.140000,0.932100,3.858800,2.259400
254,1.565600,2.140000,0.932100,3.858800,2.259400
255,1.565600,2.140000,0.932100,3.858800,2.259400
256,1.565600,2.140000,0.932100,3.858800,2.259400
257,1.565600,2.140000,0.932100,3.858800,2.259400
258,1.565600,2.140000,0.932100,3.858800,2.259400
259,1.565600,2.140000,0.932100,3.858800,2.259400
260,1.565600,2.140000,0.932100,3.858800,2.259400
261,1.565600,2.140000,0.932100,3.858800,2.259400
262,1.565600,2.140000,0.932100,3.858800,2.259400
263,1.565600,2.140000,0.932100,3.858800,2.259400
264,1.565600,2.140000,0.932100,3.858800,2.259400
265,1.565600,2.140000,0.932100,3.858800,2.259400
266,1.565600,2.140000,0.932100,3.858800,2.259400
267,1.565600,2.140000,0.932100,3.858800,2.259400
268,1.565600,2.140000,0.932100,3.858800,2.259400
269,1.565600,2.140000,0.932100,3.858800,2.259400
270,1.565600,2.140000,0.932100,3.858800,2.259400
271,1.565600,2.140000,0.932100,3.858800,2.259400
272,1.565600,2.140000,0.932100,3.858800,2.259400
273,1.565600,2.140000,0.932100,3.858800,2.259400
274,1.565600,2.140000,0.932100,3.858800,2.259400
275,1.565600,2.140000,0.932100,3.858800,2.259400
276,1.565600,2.140000,0.932100,3.858800,2.259400
277,1.565600,2.140000,0.932100,3.858800,2.259400
278,1.565600,2.140000,0.932100,3.858800,2.259400
279,1.565600,2.140000,0.932100,3.858800,2.259400
280,1.565600,2.140000,0.932100,3.858800,2.259400
281,1.565600,2.140000,0.932100,3.858800,2.259400
282,1.565600,2.140000,0.932100,3.858800,2.259400
283,1.565600,2.140000,0.932100,3.858800,2.259400
284,1.565600,2.140000,0.932100,3.858800,2.259400
285,1.565600,2.140000,0.932100,3.858800,2.259400
286,1.565600,2.140000,0.932100,3.858800,2.259400
287,1.565600,2.140000,0.932100,3.858800,2.259400
288,1.565600,2.140000,0.932100,3.858800,2.259400
289,1.565600,2.140000,0.932100,3.858800,2.259400
290,1.565600,2.140000,0.932100,3.858800,2.259400
291,1.565600,2.140000,0.932100,3.858800,2.259400
292,1.565600,2.140000,0.932100,3.858800,2.259400
293,1.565600,2.140000,0.932100,3.858800,2.259400
294,1.565600,2.140000,0.932100,3.858800,2.259400
295,1.565600,2.140000,0.932100,3.858800,2.259400
296,1.565600,2.140000,0.932100,3.858800,2.259400
297,1.565600,2.140000,0.932100,3.858800,2.259400
298,1.565600,2.140000,0.932100,3.858800,2.259400
299,1.565600,2.140000,0.932100,3.858800,2.259400
300,1.565600,2.140000,0.932100,3.858800,2.259400
301,1.565600,2.140000,0.932100,3.858800,2.259400
302,1.565600,2.140000,0.932100,3.858800,2.259400
303,1.565600,2.140000,0.932100,3.858800,2.259400
304,1.565600,2.140000,0.932100,3.858800,2.259400
305,1.565600,2.140000,0.932100,3.858800,2.259400
306,1.565600,2.140000,0.932100,3.858800,2.259400
307,1.565600,2.140000,0.932100,3.858800,2.259400
308,1.565600,2.140000,0.932100,3.858800,2.259400
309,1.565600,2.140000,0.932100,3.858800,2.259400
310,1.565600,2.140000,0.932100,3.858800,2.259400
311,1.565600,2.140000,0.932100,3.858800,2.259400
312,1.565600,2.140000,0.932100,3.858800,2.259400
313,1.565600,2.140000,0.932100,3.858800,2.259400
314,1.565600,2.140000,0.932100,3.858800,2.259400
315,1.565600,2.140000,0.932100,3.858800,2.259400
316,1.565600,2.140000,0.932100,3.858800,2.259400
317,1.565600,2.140000,0.932100,3.858800,2.259400
318,1.565600,2.140000,0.932100,3.858800,2.259400
319,1.565600,2.140000,0.932100,3.858800,2.259400
320,1.565600,2.140000,0.932100,3.858800,2.259400
321,1.565600,2.140000,0.932100,3.858800,2.259400
322,1.565600,2.140000,0.932100,3.858800,2.259400
323,1.565600,2.140000,0.932100,3.858800,2.259400
324,1.565600,2.140000,0.932100,3.858800,2.259400
325,1.565600,2.140000,0.932100,3.858800,2.259400
326,1.565600,2.140000,0.932100,3.858800,2.259400
327,1.565600,2.140000,0.932100,3.858800,2.259400
328,1.565600,2.140000,0.932100,3.858800,2.259400
329,1.565600,2.140000,0.932100,3.858800,2.259400
330,1.565600,2.140000,0.932100,3.858800,2.259400
331,1.565600,2.140000,0.932100,3.858800,2.259400
332,1.565600,2.140000,0.932100,3.858800,2.259400
333,1.565600,2.140000,0.932100,3.858800,2.259400
334,1.565600,2.140000,0.932100,3.858800,2.259400
335,1.565600,2.140000,0.932100,3.858800,2.259400
336,1.565600,2.140000,0.932100,3.858800,2.259400
337,1.565600,2.140000,0.932100,3.858800,2.259400
338,1.565600,2.140000,0.932100,3.858800,2.259400
339,1.565600,2.140000,0.932100,3.858800,2.259400
340,1.565600,2.140000,0.932100,3.858800,2.259400
341,1.565600,2.140000,0.932100,3.858800,2.259400
342,1.565600,2.140000,0.932100,3.858800,2.259400
343,1.565600,2.140000,0.932100,3.858800,2.259400
344,1.565600,2.140000,0.932100,3.858800,2.259400
345,1.565600,2.140000,0.932100,3.858800,2.259400
346,1.565600,2.140000,0.932100,3.858800,2.259400
347,1.565600,2.140000,0.932100,3.858800,2.259400
348,1.565600,2.140000,0.932100,3.858800,2.259400
349,1.565600,2.140000,0.932100,3.858800,2.259400
350,1.565600,2.140000,0.932100,3.858800,2.259400
351,1.565600,2.140000,0.932100,3.858800,2.259400
352,1.565600,2.140000,0.932100,3.858800,2.259400
353,1.565600,2.140000,0.932100,3.858800,2.259400
354,1.565600,2.140000,0.932100,3.858800,2.259400
355,1.565600,2.140000,0.932100,3.858800,2.259400
356,1.565600,2.140000,0.932100,3.858800,2.259400
357,1.565600,2.140000,0.932100,3.858800,2.259400
358,1.565600,2.140000,0.932100,3.858800,2.259400
359,1.565600,2.140000,0.932100,3.858800,2.259400
360,1.565600,2.140000,0.932100,3.858800,2.259400
361,1.565600,2.140000,0.932100,3.858800,2.259400
362,1.565600,2.140000,0.932100,3.858800,2.259400
363,1.565600,2.140000,0.932100,3.858800,2.259400
364,1.565600,2.140000,0.932100,3.858800,2.259400
365,1.565600,2.140000,0.932100,3.858800,2.259400
366,1.565600,2.140000,0.932100,3.858800,2.259400
367,1.565600,2.140000,0.932100,3.858800,2.259400
368,1.565600,2.140000,0.932100,3.858800,2.259400
369,1.565600,2.140000,0.932100,3.858800,2.259400
370,1.565600,2.140000,0.932100,3.858800,2.259400
371,1.565600,2.140000,0.932100,3.858800,2.259400
372,1.565600,2.140000,0.932100,3.858800,2.259400
373,1.565600,2.140000,0.932100,3.858800,2.259400
374,1.565600,2.140000,0.932100,3.858800,2.259400
375,1.565600,2.140000,0.932100,3.858800,2.259400
376,1.565600,2.140000,0.932100,3.858800,2.259400
377,1.565600,2.140000,0.932100,3.858800,2.259400
378,1.565600,2.140000,0.932100,3.858800,2.259400
379,1.565600,2.140000,0.932100,3.858800,2.259400
380,1.565600,2.140000,0.932100,3.858800,2.259400
381,1.565600,2.140000,0.932100,3.858800,2.259400
382,1.565600,2.140000,0.932100,3.858800,2.259400
383,1.565600,2.140000,0.932100,3.858800,2.259400
384,1.565600,2.140000,0.932100,3.858800,2.259400
385,1.565600,2.140000,0.932100,3.858800,2.259400
386,1.565600,2.140000,0.932100,3.858800,2.259400
387,1.565600,2.140000,0.932100,3.858800,2.259400
388,1.565600,2.140000,0.932100,3.858800,2.259400
389,1.565600,2.140000,0.932100,3.858800,2.259400
390,1.565600,2.140000,0.932100,3.858800,2.259400
391,1.565600,2.140000,0.932100,3.858800,2.259400
392,1.565600,2.140000,0.932100,3.858800,2.259400
393,1.565600,2.140000,0.932100,3.858800,2.259400
394,1.565600,2.140000,0.932100,3.858800,2.259400
395,1.565600,2.140000,0.932100,3.858800,2.259400
396,1.565600,2.140000,0.932100,3.858800,2.259400
397,1.565600,2.140000,0.932100,3.858800,2.259400
398,1.565600,2.140000,0.932100,3.858800,2.259400
399,1.565600,2.140000,0.932100,3.858800,2.259400
