"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
121,7.168,16.84,11.952,465.942,13.9103136,0.1513,5.20833333333333e-07,4.326
122,4.023,17.12,10.919,440.587,24.9503328,0.355,0,5.184
123,3.733,16.65,10.567,436.109,22.0156704,0.3506,3.125e-07,5.625
124,3.027,14.85,8.706,431.512,17.3219904,0.2716,3.35648148148148e-07,4.955
125,-1.067,14.38,7.722,452.538,25.7699232,0.3728,3.47222222222222e-08,3.507
126,-1.246,17.54,9.83,464.018,27.6754752,0.4795,0,2.25
127,2.669,19.49,11.372,468.365,23.5273248,0.4663,0,2.561
128,2.719,16.59,10.772,454.573,23.7203424,0.3614,3.00925925925926e-07,4.343
129,0.378,19.22,11.037,453.175,28.772496,0.4316,0,2.858
130,1.191,19.42,12.045,445.883,24.1403328,0.6074,0,3.193
131,1.228,19.46,11.452,450.286,24.1951968,0.3908,2.31828703703704e-05,3.885
132,9.5,18.66,13.738,431.373,16.4361312,0.2307,3.75347222222222e-05,5.258
133,5.582,22.49,15.198,446.959,29.5853472,0.6576,1.46990740740741e-06,5.437
134,5.207,20.43,13.652,438.076,30.10824,0.5816,0,6.399
135,2.702,21.47,13.636,440.87,29.910384,0.6593,0,4.129
136,3.029,21.54,13.372,451.768,30.8470464,0.7193,0,4.584
137,0.734,22.27,13.232,476.275,31.1271552,0.7248,0,4.493
138,2.569,21.67,13.789,465.347,30.9407904,0.7137,0,4.259
139,3.117,17.39,11.56,458.341,25.9485984,0.3557,0.000110405092592593,5.768
140,2.43,17.63,10.216,453.799,16.3778976,0.15,0.000499710648148148,2.793
141,4.259,22.17,13.602,448.972,30.4196256,0.6341,3.47222222222222e-08,4.406
142,1.716,20.59,12.748,442.665,30.4207488,0.6166,0,3.011
143,0.963,16.16,11.842,450.644,9.4742784,0.0308,0.000116087962962963,5.421
144,13.26,18.11,15.191,434.93,6.9799104,0.0068,0.000222916666666667,8.771
145,8.5,14.69,11.606,429.542,25.886304,0.2298,9.21875e-05,11.916
146,7.236,14,10.898,433.982,9.207216,0.0081,0.000295243055555556,8.179
147,8.72,14.44,11.57,437.45,10.7385696,0.0202,0.000341238425925926,3.478
148,8.58,18.05,13.197,437.313,15.9301728,0.1908,0.000334583333333333,5.657
149,13.15,17.08,15.612,436.215,5.819904,0.0046,0.000119247685185185,9.519
150,11.25,20.3,16.003,432.887,22.624704,0.2575,5.71990740740741e-05,6.285
151,9.85,17.82,13.578,442.102,18.3645792,0.2851,6.78935185185185e-05,8.655
