"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3","WTD_m","WTD_unc_m"
108,0.31170388896,0.58,1.53635287812482,0.77,-9999,-9999,-0.155416666666667,-0.0155416666666667
109,-0.0869185759968,0.58,0.972505079289705,0.77,-9999,-9999,-0.168958333333333,-0.0168958333333333
110,-0.233431855776,0.58,1.40389628444878,0.77,-9999,-9999,-0.179583333333333,-0.0179583333333333
111,-0.132131983104,0.58,0.908906302031839,0.77,-9999,-9999,-0.191666666666667,-0.0191666666666667
112,0.204696864288,0.58,0.929120675127034,0.77,-9999,-9999,-0.200416666666667,-0.0200416666666667
113,0.412052223744,0.58,0.648106703793034,0.77,-9999,-9999,-0.21,-0.021
114,0.374646511872,0.58,0.359762926472767,0.77,-9999,-9999,-9999,-9999
115,-0.094969084608,0.58,1.25275434636774,0.77,-9999,-9999,-0.22,-0.022
116,0.260909198496,0.58,0.775879877055669,0.77,-9999,-9999,-0.216458333333333,-0.0216458333333333
117,0.082853319744,0.58,1.37340956916637,0.77,-9999,-9999,-0.211041666666667,-0.0211041666666667
118,-0.15890267664,0.58,1.00722159801684,0.77,-9999,-9999,-0.224166666666667,-0.0224166666666667
119,0.132532521408,0.58,1.18827386990598,0.77,-9999,-9999,-0.236041666666667,-0.0236041666666667
120,0.572916085344,0.58,0.830434720253002,0.77,-9999,-9999,-0.240833333333333,-0.0240833333333333
121,0.311850199584,0.58,1.43088770305982,0.77,-9999,-9999,-0.232083333333333,-0.0232083333333333
122,1.42483719168,0.58,0.310320615294942,0.77,-9999,-9999,-0.23,-0.023
123,0.574403057856,0.58,0.511986197294545,0.77,-9999,-9999,-0.23,-0.023
124,-0.219183691392,0.58,1.37443155837884,0.77,-9999,-9999,-0.23,-0.023
125,0.234816099552,0.58,0.811338847650619,0.77,-9999,-9999,-0.235416666666667,-0.0235416666666667
126,0.0141252012,0.58,1.16727864669467,0.77,-9999,-9999,-0.233958333333333,-0.0233958333333333
127,0.518892184512,0.58,0.662050643966176,0.77,-9999,-9999,-0.23,-0.023
128,-0.22067481456,0.58,1.50796023603505,0.77,-9999,-9999,-0.236666666666667,-0.0236666666666667
129,0.492676641216,0.58,0.788445466271387,0.77,-9999,-9999,-0.242916666666667,-0.0242916666666667
130,-0.621486024192,0.58,1.80268209102728,0.77,-9999,-9999,-0.239166666666667,-0.0239166666666667
131,-1.025251463232,0.58,2.05292986425724,0.77,-9999,-9999,-0.208333333333333,-0.0208333333333333
132,-0.459146604384,0.58,1.69873153442201,0.77,-9999,-9999,-0.197083333333333,-0.0197083333333333
133,0.354987967392,0.58,0.5476849685251,0.77,-9999,-9999,-0.139375,-0.0139375
134,-1.08341460576,0.58,2.03937258514976,0.77,-9999,-9999,-0.155625,-0.0155625
135,-0.526830314112,0.58,1.21053935993134,0.77,-9999,-9999,-0.17875,-0.017875
136,1.95531178176,0.58,0.191284851863141,0.77,-9999,-9999,-0.166875,-0.0166875
137,-0.910023026688,0.58,1.78992306775264,0.77,-9999,-9999,-0.109166666666667,-0.0109166666666667
138,-1.24433553888,0.58,2.98386378390147,0.77,-9999,-9999,-0.124166666666667,-0.0124166666666667
139,-1.39170458016,0.58,2.98060247879729,0.77,-9999,-9999,-0.136041666666667,-0.0136041666666667
140,-1.5594533424,0.58,1.30824113824412,0.77,-9999,-9999,-0.164791666666667,-0.0164791666666667
141,-1.04224009824,0.58,1.3792315773747,0.77,-9999,-9999,-0.176041666666667,-0.0176041666666667
142,-0.747317311488,0.58,0.825354919681787,0.77,-9999,-9999,-0.188958333333333,-0.0188958333333333
143,-1.83729825504,0.58,1.79295455940862,0.77,-9999,-9999,-0.19375,-0.019375
144,-1.65136961952,0.58,1.94764470865232,0.77,-9999,-9999,-0.203958333333333,-0.0203958333333333
145,-1.75867445376,0.58,1.85689178222452,0.77,-9999,-9999,-0.21,-0.021
146,-1.92269800224,0.58,2.01989736975046,0.77,-9999,-9999,-9999,-9999
147,-1.96162077888,0.58,1.97131313599399,0.77,-9999,-9999,-9999,-9999
148,-9999,-9999,1.62349738129143,0.77,-9999,-9999,-9999,-9999
149,-9999,-9999,1.37263332734038,0.77,-9999,-9999,-9999,-9999
150,-0.842434782048,0.58,1.22080101387646,0.77,-9999,-9999,-0.274791666666667,-0.0274791666666667
151,-1.50667775136,0.58,0.903084249137019,0.77,-9999,-9999,-0.269166666666667,-0.0269166666666667
152,-0.704716015968,0.58,1.19188295875644,0.77,-9999,-9999,-0.290833333333333,-0.0290833333333333
153,-1.54187531424,0.58,1.97047246344392,0.77,-9999,-9999,-0.27,-0.027
154,-0.938921969088,0.58,1.08713981800959,0.77,-9999,-9999,-0.278541666666667,-0.0278541666666667
155,-2.00994479136,0.58,2.33426305593678,0.77,-9999,-9999,-0.286666666666667,-0.0286666666666667
156,-1.86173524224,0.58,1.73163407665918,0.77,-9999,-9999,-0.296875,-0.0296875
157,-2.24136461664,0.58,1.39179292480043,0.77,-9999,-9999,-0.308125,-0.0308125
158,-2.2244922,0.58,1.60694971926395,0.77,-9999,-9999,-0.356666666666667,-0.0356666666666667
159,0.504708355296,0.58,0.657281090075201,0.77,-9999,-9999,-0.365208333333333,-0.0365208333333333
160,-1.61288266176,0.58,1.8376246429271,0.77,-9999,-9999,-0.339791666666667,-0.0339791666666667
161,-2.5316926272,0.58,3.02032090573916,0.77,-9999,-9999,-0.328125,-0.0328125
162,-0.860416461504,0.58,1.43827315863191,0.77,-9999,-9999,-0.33,-0.033
163,-2.543314464,0.58,1.69336552596922,0.77,-9999,-9999,-0.331041666666667,-0.0331041666666667
164,-1.70579509632,0.58,0.854827622272006,0.77,-9999,-9999,-0.34,-0.034
165,-9999,-9999,1.51114591410361,0.77,-9999,-9999,-9999,-9999
166,-1.656630576,0.58,2.26405129300562,0.77,-9999,-9999,-0.364791666666667,-0.0364791666666667
167,-1.86576137856,0.58,2.31467116265807,0.77,-9999,-9999,-0.379375,-0.0379375
168,-1.19332397664,0.58,1.64548139855192,0.77,-9999,-9999,-0.39,-0.039
169,-2.96415985248,0.58,2.17628289555975,0.77,-9999,-9999,-0.402291666666667,-0.0402291666666667
170,-1.85093316,0.58,2.00036647487577,0.77,-9999,-9999,-0.415833333333333,-0.0415833333333333
171,-1.98306929376,0.58,2.88354688224377,0.77,-9999,-9999,-0.42,-0.042
172,-1.2670396272,0.58,1.20341797227341,0.77,-9999,-9999,-0.42875,-0.042875
173,-1.89121527648,0.58,1.82122954496131,0.77,-9999,-9999,-0.431458333333333,-0.0431458333333333
174,-1.44418962528,0.58,2.28674816582133,0.77,-9999,-9999,-0.44,-0.044
175,-1.38057044544,0.58,2.22144639783435,0.77,-9999,-9999,-0.44,-0.044
176,-2.57539903488,0.58,3.0752014392846,0.77,-9999,-9999,-0.441041666666667,-0.0441041666666667
177,-2.24520397344,0.58,2.17610032149533,0.77,-9999,-9999,-0.449583333333333,-0.0449583333333333
178,-2.12089182624,0.58,1.90982284821631,0.77,-9999,-9999,-0.45,-0.045
