,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2017-12-31,371.0,3.5578220912388394,8.958805629185267,3.583805,407.27,365.0,-9999.0,0.22,-9999.0,277.4016211684869,27923.294548108865,96.87439708320461,-9999.0,-9999.0,365,3.5578220912388394,8.958805629185267
2018-01-07,378.0,1.2957327706473214,6.117963518415179,4.582771,407.5,13.0,-9999.0,0.59,-9999.0,276.85275214578013,28147.75634175807,109.12686462142838,-9999.0,-9999.0,7,1.2957327706473214,6.117963518415179
2018-01-14,385.0,3.3538905552455356,8.139822823660714,4.5302679999999995,407.72999999999996,20.0,-9999.0,0.1,-9999.0,275.9840335768096,28635.623831505403,120.38035529000419,-9999.0,-9999.0,14,3.3538905552455356,8.139822823660714
2018-01-21,392.0,4.852076939174107,9.749790736607142,4.856536999999999,407.96,27.0,-9999.0,0.53,-9999.0,276.03515218098954,29366.09352332092,108.23508827053772,-9999.0,-9999.0,21,4.852076939174107,9.749790736607142
2018-01-28,399.0,2.847202845982143,7.834372384207589,5.995197999999999,408.04999999999995,34.0,-9999.0,0.2,-9999.0,276.7096595816061,30310.73789364297,105.1155762445359,-9999.0,-9999.0,28,2.847202845982143,7.834372384207589
2018-02-04,406.0,-0.7951703752790179,5.28662109375,7.509818999999999,408.14,41.0,-9999.0,0.47,-9999.0,275.95429928318987,31437.17142196636,109.70124884365369,-9999.0,-9999.0,35,-0.7951703752790179,5.28662109375
2018-02-11,413.0,0.03972516741071429,7.383401053292411,8.2654885,408.23,48.0,-9999.0,0.11,-9999.0,274.4110473632812,32712.43391815937,125.3327527986903,-9999.0,-9999.0,42,0.03972516741071429,7.383401053292411
2018-02-18,420.0,1.8254002162388392,6.628204345703125,10.546560999999999,408.32,55.0,-9999.0,0.06,-9999.0,273.90732774799375,34105.538784658114,135.08595864951207,-9999.0,-9999.0,49,1.8254002162388392,6.628204345703125
2018-02-25,427.0,-3.341700962611607,0.8121294294084821,11.584904,408.5875,62.0,-9999.0,1.97,-9999.0,273.0385473134566,35589.00868402216,146.93061680696448,-9999.0,-9999.0,56,-3.341700962611607,0.8121294294084821
2018-03-04,434.0,1.6917593819754464,7.631587437220982,13.602991999999999,408.855,69.0,-9999.0,0.14,-9999.0,272.99056745256695,37139.49481806067,123.68412728861075,-9999.0,-9999.0,63,1.6917593819754464,7.631587437220982
