,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2017-07-09,196.0,13.086011614118304,18.40216064453125,24.653076,407.57,196.0,-9999.0,0.03,-9999.0,285.9698945960219,58225.940128233764,346.6285146077474,-9999.0,-9999.0,190,13.086011614118304,18.40216064453125
2017-07-16,203.0,13.364772251674108,18.75439453125,25.620676,407.13,203.0,-9999.0,0.04,-9999.0,286.12955301505366,57719.94359393195,348.6117411503175,-9999.0,-9999.0,197,13.364772251674108,18.75439453125
2017-07-23,210.0,12.567417689732142,18.009107317243302,23.631746,406.728,210.0,-9999.0,0.15,-9999.0,286.19536884333814,56973.16493022172,341.2027963651281,-9999.0,-9999.0,204,12.567417689732142,18.009107317243302
2017-07-30,217.0,12.143995012555804,17.67449951171875,21.370521999999998,406.326,217.0,-9999.0,0.57,-9999.0,285.9074244907924,56014.43702021389,302.8132942874416,-9999.0,-9999.0,211,12.143995012555804,17.67449951171875
2017-08-06,224.0,11.357395717075892,16.732988630022323,21.370521999999998,405.924,224.0,-9999.0,0.08,-9999.0,285.3185460927535,54876.290973354655,271.6997484998638,-9999.0,-9999.0,218,11.357395717075892,16.732988630022323
2017-08-13,231.0,11.409763881138392,17.594648088727677,19.293712,405.522,231.0,-9999.0,0.76,-9999.0,284.9028941874601,53591.61872108311,262.19697721312644,-9999.0,-9999.0,225,11.409763881138392,17.594648088727677
2017-08-20,238.0,12.157536097935267,19.283939906529017,18.33704,405.12,238.0,-9999.0,0.6,-9999.0,284.83714396158854,52191.19526048423,270.38106183940863,-9999.0,-9999.0,232,12.157536097935267,19.283939906529017
2017-08-27,245.0,10.722726004464286,18.510872977120535,20.359209999999997,404.6825,245.0,-9999.0,0.4,-9999.0,284.7749215262277,50702.21394689877,284.5980815238693,-9999.0,-9999.0,239,10.722726004464286,18.510872977120535
2017-09-03,252.0,12.634913853236608,16.814522879464285,14.367832,404.245,252.0,-9999.0,0.8,-9999.0,284.9914258892033,49147.724839009,279.5675305736308,-9999.0,-9999.0,246,12.634913853236608,16.814522879464285
2017-09-10,259.0,9.500361851283483,14.465567452566964,13.049164,403.8075,259.0,-9999.0,0.33,-9999.0,284.57124762502656,47546.75026126277,264.81560111532406,-9999.0,-9999.0,253,9.500361851283483,14.465567452566964
2017-09-17,266.0,8.767024448939733,15.452274867466517,13.897008999999999,403.37,266.0,-9999.0,0.07,-9999.0,283.5306538484534,45914.84561386914,228.2561352269179,-9999.0,-9999.0,260,8.767024448939733,15.452274867466517
2017-09-24,273.0,11.226584298270089,16.066741943359375,13.897008999999999,403.435,273.0,-9999.0,0.07,-9999.0,283.1324314247183,44264.92107805422,206.59344337100077,-9999.0,-9999.0,267,11.226584298270089,16.066741943359375
2017-10-01,280.0,9.817252022879464,14.147992815290179,11.516941,403.5,280.0,-9999.0,0.0,-9999.0,283.0322403473108,42608.199584827424,207.167417357568,-9999.0,-9999.0,274,9.817252022879464,14.147992815290179
2017-10-08,287.0,11.336395263671875,15.942395891462054,9.040341,403.565,287.0,-9999.0,0.01,-9999.0,283.61695818219863,40955.2364601678,210.78615180813534,-9999.0,-9999.0,281,11.336395263671875,15.942395891462054
2017-10-15,294.0,10.418278285435267,15.214939662388392,9.995645999999999,403.63,294.0,-9999.0,0.67,-9999.0,283.84582984561,39316.95839115943,218.68184853897614,-9999.0,-9999.0,288,10.418278285435267,15.214939662388392
2017-10-22,301.0,9.153499058314733,14.296818324497767,8.804929999999999,403.928,301.0,-9999.0,0.53,-9999.0,283.603890430684,37705.69199183157,199.90452430361793,-9999.0,-9999.0,295,9.153499058314733,14.296818324497767
2017-10-29,308.0,5.697675432477679,12.190394810267858,7.5786964999999995,404.226,308.0,-9999.0,0.3,-9999.0,282.4937985790019,36136.14523244282,179.41879329551645,-9999.0,-9999.0,302,5.697675432477679,12.190394810267858
2017-11-05,315.0,6.051112583705357,10.695238385881696,6.846508,404.524,315.0,-9999.0,0.2,-9999.0,280.4420129477572,34626.27831713165,153.71622435900628,-9999.0,-9999.0,309,6.051112583705357,10.695238385881696
2017-11-12,322.0,4.537942068917411,10.324493408203125,6.102481,404.822,322.0,-9999.0,0.42,-9999.0,279.12119618110916,33197.95520568239,145.91521479807744,-9999.0,-9999.0,316,4.537942068917411,10.324493408203125
2017-11-19,329.0,6.616686139787946,10.500605991908483,4.750118,405.12,329.0,-9999.0,0.16,-9999.0,278.88599222403803,31877.208545758614,139.1853269200747,-9999.0,-9999.0,323,6.616686139787946,10.500605991908483
2017-11-26,336.0,2.0721043178013394,6.633815220424107,4.859855,405.5425,336.0,-9999.0,0.26,-9999.0,278.481834650364,30693.89638067749,144.92936807749223,-9999.0,-9999.0,330,2.0721043178013394,6.633815220424107
2017-12-03,343.0,3.710811070033482,8.227425711495536,3.8918,405.96500000000003,343.0,-9999.0,0.04,-9999.0,277.4952586478927,29680.51436625503,132.19983507013646,-9999.0,-9999.0,337,3.710811070033482,8.227425711495536
2017-12-10,350.0,2.3251865931919644,6.467054094587054,3.740627,406.3875,350.0,-9999.0,0.17,-9999.0,276.2429868529443,28870.006121232935,129.3194999694824,-9999.0,-9999.0,344,2.3251865931919644,6.467054094587054
2017-12-17,357.0,5.062595912388393,9.586382184709821,4.002448,406.81,357.0,-9999.0,0.0,-9999.0,276.01003808261584,28292.634996480523,102.641646274904,-9999.0,-9999.0,351,5.062595912388393,9.586382184709821
2017-12-24,364.0,4.011483328683036,8.088640485491071,3.753831,407.04,364.0,-9999.0,0.09,-9999.0,276.8015752052774,27972.33213304127,91.16526232609131,-9999.0,-9999.0,358,4.011483328683036,8.088640485491071
