"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
302,2.48394970656,0.58,0.448358486919279,0.77,0.72563,0.072563
303,1.64375316576,0.58,0.838566799484573,0.77,0.726,0.0726
304,1.41863196096,0.58,0.85021972332828,0.77,0.727445,0.0727445
305,1.6661252016,0.58,0.391157845533826,0.77,0.73281,0.073281
306,2.05891215552,0.58,0.439679419717348,0.77,0.74631,0.074631
307,0.598971828384,0.58,0.44724694398353,0.77,0.749985,0.0749985
308,0.628796367072,0.58,0.279678602707074,0.77,0.745695,0.0745695
309,1.62914285664,0.58,0.196493474588138,0.77,0.74625,0.074625
310,1.8879258816,0.58,0.240877600287812,0.77,0.754185,0.0754185
311,2.26201413024,0.58,0.497195505344656,0.77,0.7578,0.07578
312,1.31157616608,0.58,0.726522535338939,0.77,0.75459,0.075459
313,1.03822433856,0.58,0.524018335245043,0.77,0.751685,0.0751685
314,2.3447574576,0.58,1.02608547071273,0.77,0.74601,0.074601
315,2.3902071408,0.58,0.889948947603603,0.77,0.73932,0.073932
316,1.75973287104,0.58,0.584210812383083,0.77,0.72836,0.072836
317,1.59741109152,0.58,0.664503225280519,0.77,0.726495,0.0726495
318,1.36656198144,0.58,0.330524892911271,0.77,0.723775,0.0723775
319,2.42126442432,0.58,0.111068624224773,0.77,0.734375,0.0734375
320,1.7592036624,0.58,0.0377198977102479,0.77,0.753695,0.0753695
321,2.29279124448,0.58,0.0556533803859813,0.77,0.74682,0.074682
322,2.09121463584,0.58,0.11122016729746,0.77,0.76504,0.076504
323,1.34457388128,0.58,0.162016432198286,0.77,0.763105,0.0763105
324,0.903725443872,0.58,0.163031309809387,0.77,0.76526,0.076526
325,1.26147774816,0.58,-0.00314769799895522,0.77,0.76728,0.076728
326,-9999,-9999,0.138169071916188,0.77,0.76716,0.076716
327,1.41088061088,0.58,0.246754955985661,0.77,0.76762,0.076762
328,1.73792117376,0.58,0.270089607410563,0.77,0.76882,0.076882
329,0.894421748448,0.58,0.256747896252336,0.77,0.769555,0.0769555
330,1.5018111072,0.58,0.620226152170832,0.77,0.74501,0.074501
331,1.2328485984,0.58,0.450056525922432,0.77,0.764495,0.0764495
332,0.842522983488,0.58,0.15748337333257,0.77,0.76404,0.076404
333,0.943415054208,0.58,0.104105260265781,0.77,0.72342,0.072342
334,0.7667558712,0.58,0.0752544773768788,0.77,0.751475,0.0751475
335,1.54222812,0.58,0.0941345864357055,0.77,0.751485,0.0751485
336,1.591776576,0.58,0.0857242145084796,0.77,0.750015,0.0750015
337,1.012258872288,0.58,0.0684925305579751,0.77,0.7494,0.07494
338,1.26696699072,0.58,0.0236292239510646,0.77,0.705895,0.0705895
339,1.08562483008,0.58,0.0645670286171526,0.77,0.75229,0.075229
340,0.793135365408,0.58,0.105172387767129,0.77,0.753475,0.0753475
341,0.770352414624,0.58,0.0319276141863412,0.77,0.754685,0.0754685
342,0.720209377152,0.58,0.042233704707828,0.77,0.752475,0.0752475
343,0.87352112016,0.58,0.00243480320807957,0.77,0.74604,0.074604
344,-9999,-9999,0.0345837376060014,0.77,0.74422,0.074422
345,-9999,-9999,0.0394033549842377,0.77,0.744365,0.0744365
346,-9999,-9999,0.00991099472484185,0.77,0.74411,0.074411
347,-9999,-9999,-0.0474742331244278,0.77,0.74283,0.074283
348,-9999,-9999,-0.0534934975505516,0.77,0.742225,0.0742225
349,0.875447024544,0.58,-0.0109703294911476,0.77,0.739945,0.0739945
350,0.923663119968,0.58,0.0276472535249497,0.77,0.73841,0.073841
351,0.893016751392,0.58,0.0174928245274919,0.77,0.744655,0.0744655
352,1.0881463536,0.58,0.0267313739908477,0.77,0.748235,0.0748235
353,1.44916003584,0.58,0.240337330427812,0.77,0.783715,0.0783715
354,0.898906532256,0.58,0.231636361821709,0.77,0.781725,0.0781725
355,1.42529376384,0.58,0.217755543547351,0.77,0.77953,0.077953
356,1.23314952096,0.58,0.0675760289136333,0.77,0.778435,0.0778435
357,1.28974371552,0.58,0.0558760836187368,0.77,0.780035,0.0780035
358,1.22351999904,0.58,0.262840131435725,0.77,0.785125,0.0785125
359,1.45412006976,0.58,0.140625620423988,0.77,0.78764,0.078764
360,1.08639270144,0.58,-0.0276066267995028,0.77,0.78782,0.078782
361,1.25234630496,0.58,0.0381940880025397,0.77,0.78892,0.078892
362,1.83343814496,0.58,0.111472668390256,0.77,0.791245,0.0791245
363,0.912270606912,0.58,0.0351317155109751,0.77,0.79056,0.079056
364,1.50656360832,0.58,0.156383791823025,0.77,0.79249,0.079249
365,1.26866875968,0.58,0.00733431428114605,0.77,0.7916,0.07916
1,1.2424988736,0.58,0.0113351514671352,0.77,0.79265,0.079265
2,0.911666686464,0.58,0.0321155372533034,0.77,0.78909,0.078909
3,1.27678329216,0.58,0.214956025264057,0.77,0.788535,0.0788535
4,1.64736423648,0.58,0.151015309275281,0.77,0.790265,0.0790265
5,1.481784192,0.58,0.256272769072284,0.77,0.772735,0.0772735
6,1.26572179392,0.58,0.186903761769039,0.77,0.7872,0.07872
7,1.44097286688,0.58,0.532217937047188,0.77,0.786845,0.0786845
8,1.1197432224,0.58,0.348318257536515,0.77,0.78723,0.078723
9,0.986753091168,0.58,0.0546022162995993,0.77,0.774795,0.0774795
10,1.56530576736,0.58,0.152956481803921,0.77,0.79241,0.079241
11,0.964654998624,0.58,0.191439804868893,0.77,0.79055,0.079055
12,1.12079126304,0.58,0.214775896214162,0.77,0.789575,0.0789575
13,0.787070219328,0.58,0.0279890651714197,0.77,0.79068,0.079068
14,1.001598950016,0.58,0.0682763424710496,0.77,0.794105,0.0794105
15,0.507316004928,0.58,0.0946398202898924,0.77,0.794815,0.0794815
16,0.76085156304,0.58,0.0361082251062837,0.77,0.791945,0.0791945
17,0.760448949408,0.58,0.0472730731807733,0.77,0.784505,0.0784505
18,0.378580296096,0.58,0.0811605267083023,0.77,0.783485,0.0783485
19,0.595760258304,0.58,0.0344997856029289,0.77,0.76921,0.076921
20,0.420375326688,0.58,0.0614489020160649,0.77,0.764905,0.0764905
21,0.379465423488,0.58,0.261715507091701,0.77,0.75982,0.075982
22,0.65286187056,0.58,0.294408279999734,0.77,0.769665,0.0769665
23,0.908123063904,0.58,0.212085266296085,0.77,0.773815,0.0773815
24,0.90715699872,0.58,0.165991864442571,0.77,0.768345,0.0768345
25,0.945371050848,0.58,0.168635186922135,0.77,0.766505,0.0766505
26,0.657394386912,0.58,0.265888894259792,0.77,0.76717,0.076717
27,-9999,-9999,0.116006929664986,0.77,0.76709,0.076709
28,0.506100900384,0.58,0.192749705516755,0.77,0.76707,0.076707
29,0.851935633632,0.58,0.0773983938925488,0.77,0.7663,0.07663
30,0.666462532608,0.58,0.157588034491589,0.77,0.76693,0.076693
