"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
137,9.883,18.4,12.555,411.018,15.6398688,0.2678,6.6087962962963e-05,3.072
138,9.782,16.41,13.221,411.756,25.4939616,0.4342,2.92824074074074e-05,6.28
139,9.84,16.22,12.252,415.109,25.7758848,0.4098,6.48148148148148e-06,5.88
140,8.4,14.4,11.229,417.34,15.734736,0.1905,2.8587962962963e-05,5.178
141,8.61,14.09,11.312,416.166,13.8876768,0.2012,1.85185185185185e-05,5.98
142,9.59,15.08,12.286,415.123,12.1019616,0.0979,3.86574074074074e-05,5.168
143,8.74,14.6,11.218,416.965,19.5611328,0.2263,1.59722222222222e-05,4.848
144,6.74,14.15,10.032,421.44,21.0711456,0.2027,2.07175925925926e-05,4.514
145,7.51,13.259,10.599,420.523,16.5442176,0.1727,3.56018518518519e-05,6.893
146,7.5,13.68,10.212,421.037,18.1351008,0.2521,1.59722222222222e-05,7.993
147,7.531,12.994,10.166,418.101,13.7694816,0.294,5.43981481481481e-06,8.276
148,6.292,14.379,10.335,419.036,19.2578688,0.3176,3.47222222222222e-07,3.009
149,5.478,11.477,8.789,425.779,13.8714336,0.2481,9.61805555555555e-06,2.68
150,4.87,11.56,8.192,429.472,14.3412768,0.1432,1.16898148148148e-05,1.349
151,4.3,11.68,8.388,423.595,16.1135136,0.1065,5.55555555555555e-06,2.419
152,7.9,14.51,10.734,416.525,14.0246208,0.2098,7.17592592592593e-05,2.109
153,5.3,16.95,12.184,418.732,19.8561024,0.4318,2.89351851851852e-06,2.128
154,7.7,13.19,10.31,416.125,17.8766784,0.0899,1.96759259259259e-06,4.016
155,5.86,16.9,11.285,413.289,29.245968,0.3917,5.78703703703704e-07,2.612
156,3.4,15.13,10.038,418.305,22.6014624,0.2234,4.05092592592593e-06,2.558
157,7.02,13.5,10.404,416.243,21.2868,0.1901,3.00925925925926e-06,2.688
158,5.47,16.78,11.267,414.241,23.64768,0.2044,0,2.612
159,8.54,14.94,11.241,418.474,8.8739712,0.0153,0.000139351851851852,2.285
160,10.68,16.28,13.162,414.186,14.622336,0.1297,1.58564814814815e-05,3.896
161,11.02,17.38,14.118,408.844,26.08848,0.3295,9.02777777777778e-06,7.031
162,9.48,14.66,12.473,410.394,12.3950304,0.1999,2.8125e-05,8.268
163,7.02,13.24,10.417,415.638,21.1773312,0.1312,2.06018518518519e-05,7.069
164,7.01,13.51,10.761,416.471,12.5662752,0.1028,2.89351851851852e-06,5.102
165,9.768,14.758,12.206,416.269,11.5210944,0.2778,1.01273148148148e-05,3.468
166,9.09,19.09,14.673,415.637,23.7385728,0.4516,4.62962962962963e-07,2.65
167,8.82,19.85,15.525,408.125,19.532016,0.435,1.15740740740741e-06,3.917
168,8.57,15.95,13.69,408.686,13.4068608,0.2779,4.35185185185185e-05,6.684
169,7.3,14.66,10.92,415.233,21.269952,0.2812,1.96759259259259e-06,7.268
170,8.07,16.25,12.505,410.318,21.0480768,0.4042,8.10185185185185e-06,4.358
171,3.82,19.44,13.167,415.579,29.5722144,0.5374,1.96759259259259e-06,4.383
172,10.83,17.28,14.063,408.142,14.5728288,0.1116,1.12268518518519e-05,4.202
173,10.95,17.61,14.23,406.844,22.4952768,0.1822,1.62037037037037e-06,5.396
174,13.02,21.83,17.083,399.661,20.3440032,0.4762,9.9537037037037e-06,3.701
175,13.16,20.19,16.095,412.953,18.1756224,0.2353,2.82407407407407e-05,1.844
176,9.98,16.98,13.764,408.013,24.5474496,0.3526,3.13657407407407e-05,3.969
177,8.74,15.49,12.379,412.293,19.176048,0.2205,1.05324074074074e-05,4.696
178,9.5,15.13,12.454,409.403,18.3494592,0.1893,2.93981481481481e-05,3.707
179,11.48,15.17,13.151,408.438,12.1544064,0.1505,4.08912037037037e-05,4.659
180,11.15,17.89,14.154,408.257,20.8523808,0.2329,2.90509259259259e-05,2.879
181,9.57,17.76,13.483,417.03,21.3642144,0.2524,1.96759259259259e-06,2.483
182,10.72,17.5,13.294,414.472,18.0887904,0.2113,5.78703703703704e-07,3.275
183,10.73,16.51,12.758,410.114,18.2695392,0.1242,9.98842592592593e-05,5.087
