"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day"
32,0.492811537536,0.58,0.901765296576,0.74,1.39578259968,0.74,0.239085454747783,0.77
33,1.08265711104,0.58,0.353794653792,0.74,1.43753819904,0.74,-9999,-9999
34,0.619613040672,0.58,0.761799987936,0.74,1.38254200704,0.74,0.0607833481040859,0.77
35,0.397315319616,0.58,0.884165477472,0.74,1.28274986016,0.74,0.0299876060035489,0.77
36,0.9391896864,0.58,0.351100878048,0.74,1.29140397792,0.74,0.0159392694375063,0.77
37,0.501234256224,0.58,0.847274446944,0.74,1.34935751232,0.74,0.0568123288387615,0.77
38,0.633186723456,0.58,0.7698688632,0.74,1.40365846944,0.74,0.0488605314899948,0.77
39,0.399098026368,0.58,1.12637389536,0.74,1.52565662592,0.74,0.00449458110299699,0.77
40,0.57670252128,0.58,0.92447561088,0.74,1.50145830144,0.74,0.0352797829745565,0.77
41,0.343090111968,0.58,1.1361901968,0.74,1.479708864,0.74,0.0876642534486782,0.77
42,0.260096707584,0.58,1.18383972768,0.74,1.44450092448,0.74,0.0619005017721793,0.77
43,0.574556632128,0.58,1.00576620864,0.74,1.5805698048,0.74,0.053829321768416,0.77
44,1.43094903264,0.58,0.230198494752,0.74,1.66118592096,0.74,0.0019443007555922,0.77
45,0.148388027328,0.58,1.59573007584,0.74,1.7438981184,0.74,0.209449456797292,0.77
46,0.277570969344,0.58,1.44130491936,0.74,1.71877627296,0.74,0.152639592348759,0.77
47,1.05554295072,0.58,0.71068050864,0.74,1.76596923168,0.74,0.168840621259786,0.77
48,0.153775578816,0.58,1.62694300896,0.74,1.78041351456,0.74,0.339132705694145,0.77
49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
51,0.584224547616,0.58,1.23779825568,0.74,1.82166065856,0.74,0.66983448566211,0.77
52,0.293749188768,0.58,1.689576408,0.74,1.98225991584,0.74,1.00006401877369,0.77
53,0.452742142176,0.58,1.39630143168,0.74,1.84861916928,0.74,0.902209799820308,0.77
54,1.12273169472,0.58,0.659634703488,0.74,1.78226055648,0.74,1.45687026126381,0.77
55,0.586701451584,0.58,1.17690813216,0.74,1.76354109792,0.74,0.837966772822048,0.77
56,0.398496181248,0.58,1.3801450032,0.74,1.77868061568,0.74,0.50906443685118,0.77
57,0.42286364496,0.58,1.18307185632,0.74,1.606563288,0.74,1.41656340975218,0.77
58,0.575404403616,0.58,1.08695304,0.74,1.6624933776,0.74,1.49811619479419,0.77
59,0.780269369472,0.58,0.677995130304,0.74,1.45898671392,0.74,0.949864855250151,0.77
60,0.123385513248,0.58,1.26997621632,0.74,1.3940497008,0.74,0.764490456900955,0.77
61,1.0650064464,0.58,0.377776106496,0.74,1.44336987072,0.74,0.576848926366131,0.77
62,0.964876021056,0.58,0.651489041088,0.74,1.61650410912,0.74,0.356114261099153,0.77
63,0.6209900208,0.58,1.015834662432,0.74,1.6370706096,0.74,0.536686316051786,0.77
64,0.680309121024,0.58,0.964240970688,0.74,1.64491534944,0.74,1.08889409866916,0.77
65,0.502297861824,0.58,1.27112802336,0.74,1.77344041248,0.74,0.73508222800803,0.77
66,0.306782248608,0.58,1.41325686144,0.74,1.71794614176,0.74,0.851740651946808,0.77
67,0.321737062176,0.58,1.4805389952,0.74,1.79395502976,0.74,0.984929197747319,0.77
68,0.643545723168,0.58,1.46443444992,0.74,2.09055053088,0.74,0.812460797029711,0.77
69,0.95255479872,0.58,1.27953310176,0.74,2.20452754464,0.74,0.567938046648266,0.77
70,0.764542533888,0.58,1.36427912064,0.74,2.10252517344,0.74,0.671934549264903,0.77
71,0.509125690944,0.58,1.45700477568,0.74,1.94383521792,0.74,1.07272974084494,0.77
72,0.773881509888,0.58,1.1847009888,0.74,1.94257964448,0.74,0.802849345081426,0.77
73,0.633013433568,0.58,1.24314222528,0.74,1.86797160288,0.74,0.669431701704686,0.77
74,0.211666853376,0.58,1.70697803328,0.74,1.91700122688,0.74,0.831106841763437,0.77
75,0.823849182144,0.58,1.036500778656,0.74,1.85791663872,0.74,0.215325422641528,0.77
76,0.283003140384,0.58,1.6466690016,0.74,1.92352813344,0.74,0.634611608673678,0.77
77,0.000898449960096,0.58,2.20858481088,0.74,2.19764783232,0.74,1.29986233712944,0.77
78,0.0437073415776,0.58,2.42741777184,0.74,2.453297112,0.74,1.21381685022732,0.77
79,-0.042906368736,0.58,2.49540551712,0.74,2.43143353152,0.74,1.19104703608571,0.77
80,-0.0801015385824,0.58,2.51865956736,0.74,2.4143328288,0.74,0.861576748099696,0.77
81,0.295131357216,0.58,2.39154572736,0.74,2.65585950144,0.74,0.895149494103549,0.77
82,0.376358657472,0.58,2.42551884672,0.74,2.76600753504,0.74,1.20280977972185,0.77
83,0.38759863392,0.58,2.4790311792,0.74,2.82655522944,0.74,1.06635025234268,0.77
84,-9999,-9999,-9999,-9999,-9999,-9999,1.1520521923607,0.77
85,0.490098046176,0.58,2.43818872416,0.74,2.8810222128,0.74,0.97128662450079,0.77
86,0.364909072896,0.58,2.7443099808,0.74,3.05527712832,0.74,1.19019619363184,0.77
87,-9999,-9999,-9999,-9999,-9999,-9999,1.03049495774604,0.77
88,0.778920406272,0.58,1.95605889984,0.74,2.68441601472,0.74,0.259157048102607,0.77
89,0.3708611136,0.58,2.26276124832,0.74,2.58285983904,0.74,1.05851276184332,0.77
90,0.490941667008,0.58,1.9683967248,0.74,2.40153843168,0.74,0.602241738740404,0.77
91,0.1020020599008,0.58,2.10227613408,0.74,2.180132064,0.74,1.22792818637317,0.77
92,0.381146439168,0.58,1.76520136032,0.74,2.12916200832,0.74,1.07532279627211,0.77
93,-9999,-9999,-9999,-9999,-9999,-9999,0.746980296100487,0.77
94,0.358879207392,0.58,1.7064903312,0.74,2.05964889696,0.74,0.949189871892294,0.77
95,0.7868346696,0.58,1.19743312608,0.74,1.98460503648,0.74,0.225042736883657,0.77
96,0.0731037400992,0.58,1.85794776864,0.74,1.93309539552,0.74,1.38641998213297,0.77
97,0.41486325552,0.58,1.54657593216,0.74,1.96344706752,0.74,1.11039584817042,0.77
98,0.124911916992,0.58,1.9579682016,0.74,2.08458396288,0.74,1.3935064059974,0.77
99,-9999,-9999,-9999,-9999,-9999,-9999,1.40273678325086,0.77
100,0.0694869622272,0.58,2.30985044064,0.74,2.38017292992,0.74,0.922933015546846,0.77
101,0.428994163872,0.58,2.1822592752,0.74,2.61137484576,0.74,0.610168940479837,0.77
102,1.49512855104,0.58,0.836713102752,0.74,2.33311486752,0.74,0.174921426034326,0.77
103,0.933402634272,0.58,1.58908902624,0.74,2.52306963936,0.74,0.628865543164428,0.77
104,0.261481989024,0.58,2.4904973664,0.74,2.75173965504,0.74,1.06040657043404,0.77
105,0.460689610752,0.58,2.3220844992,0.74,2.78240262624,0.74,0.682306985895581,0.77
106,0.0113832778464,0.58,2.96879821056,0.74,2.97910221408,0.74,0.946054119375231,0.77
107,0.154846448064,0.58,2.79835152192,0.74,2.95200880704,0.74,1.08519646907559,0.77
108,0.31170388896,0.58,2.45006997696,0.74,2.76115126752,0.74,1.53635287812482,0.77
109,-0.0869185759968,0.58,2.92592193408,0.74,2.83752333792,0.74,0.972505079289705,0.77
110,-0.233431855776,0.58,3.20635063008,0.74,2.97045847296,0.74,1.40389628444878,0.77
111,-0.132131983104,0.58,3.03701424192,0.74,2.902605624,0.74,0.908906302031839,0.77
112,0.204696864288,0.58,2.86237539072,0.74,3.06357844032,0.74,0.929120675127034,0.77
113,0.412052223744,0.58,2.64564888768,0.74,3.05511110208,0.74,0.648106703793034,0.77
114,0.374646511872,0.58,2.4624804384,0.74,2.83601872512,0.74,0.359762926472767,0.77
115,-0.094969084608,0.58,3.19002817536,0.74,3.09298583808,0.74,1.25275434636774,0.77
116,0.260909198496,0.58,2.7830667312,0.74,3.04254499104,0.74,0.775879877055669,0.77
117,0.082853319744,0.58,3.236733432,0.74,3.31696561248,0.74,1.37340956916637,0.77
118,-0.15890267664,0.58,3.24017847648,0.74,3.079786752,0.74,1.00722159801684,0.77
119,0.132532521408,0.58,3.41919626976,0.74,3.5486552304,0.74,1.18827386990598,0.77
120,0.572916085344,0.58,2.66968118592,0.74,3.24167271264,0.74,0.830434720253002,0.77
121,0.311850199584,0.58,3.23311198464,0.74,3.54312448128,0.74,1.43088770305982,0.77
122,1.42483719168,0.58,1.83717373536,0.74,3.26180339424,0.74,0.310320615294942,0.77
123,0.574403057856,0.58,2.62661812992,0.74,3.20125569984,0.74,0.511986197294545,0.77
124,-0.219183691392,0.58,3.73995896544,0.74,3.5199638208,0.74,1.37443155837884,0.77
125,0.234816099552,0.58,3.32788183776,0.74,3.56206184928,0.74,0.811338847650619,0.77
126,0.0141252012,0.58,3.77822801376,0.74,3.79112617728,0.74,1.16727864669467,0.77
127,0.518892184512,0.58,3.18185138304,0.74,3.70026831744,0.74,0.662050643966176,0.77
128,-0.22067481456,0.58,4.28106961152,0.74,4.05829352736,0.74,1.50796023603505,0.77
129,0.492676641216,0.58,3.23274880224,0.74,3.72468455136,0.74,0.788445466271387,0.77
130,-0.621486024192,0.58,4.58623621728,0.74,3.96267278976,0.74,1.80268209102728,0.77
131,-1.025251463232,0.58,5.0340193632,0.74,4.0062650544,0.74,2.05292986425724,0.77
132,-0.459146604384,0.58,4.53994602624,0.74,4.07779123392,0.74,1.69873153442201,0.77
133,0.354987967392,0.58,3.50960793408,0.74,3.8625485904,0.74,0.5476849685251,0.77
134,-1.08341460576,0.58,5.13039759552,0.74,4.04386999776,0.74,2.03937258514976,0.77
135,-0.526830314112,0.58,4.35888403488,0.74,3.82995556416,0.74,1.21053935993134,0.77
136,1.95531178176,0.58,1.62572894208,0.74,3.5799926832,0.74,0.191284851863141,0.77
137,-0.910023026688,0.58,4.91450122368,0.74,4.00132577376,0.74,1.78992306775264,0.77
138,-1.24433553888,0.58,5.47608498048,0.74,4.22778556512,0.74,2.98386378390147,0.77
139,-1.39170458016,0.58,5.4255299904,0.74,4.03113786048,0.74,2.98060247879729,0.77
140,-1.5594533424,0.58,5.37250536,0.74,3.81174456096,0.74,1.30824113824412,0.77
141,-1.04224009824,0.58,4.96469303136,0.74,3.92095869696,0.74,1.3792315773747,0.77
142,-0.747317311488,0.58,5.0558103072,0.74,4.30545471552,0.74,0.825354919681787,0.77
143,-1.83729825504,0.58,5.94584584992,0.74,4.10583929184,0.74,1.79295455940862,0.77
144,-1.65136961952,0.58,5.53404889152,0.74,3.88025113824,0.74,1.94764470865232,0.77
145,-1.75867445376,0.58,5.89397302656,0.74,4.13178089184,0.74,1.85689178222452,0.77
146,-1.92269800224,0.58,6.04179864,0.74,4.11602915232,0.74,2.01989736975046,0.77
147,-1.96162077888,0.58,6.15958388064,0.74,4.1949642528,0.74,1.97131313599399,0.77
148,-9999,-9999,-9999,-9999,-9999,-9999,1.62349738129143,0.77
149,-9999,-9999,-9999,-9999,-9999,-9999,1.37263332734038,0.77
150,-0.842434782048,0.58,4.69800300672,0.74,3.85509816288,0.74,1.22080101387646,0.77
151,-1.50667775136,0.58,5.5164293568,0.74,4.0089629808,0.74,0.903084249137019,0.77
152,-0.704716015968,0.58,5.59434754656,0.74,4.88535324192,0.74,1.19188295875644,0.77
153,-1.54187531424,0.58,7.12866866688,0.74,5.57913539232,0.74,1.97047246344392,0.77
154,-0.938921969088,0.58,5.84662441824,0.74,4.90432173984,0.74,1.08713981800959,0.77
155,-2.00994479136,0.58,7.35725566944,0.74,5.34156221952,0.74,2.33426305593678,0.77
156,-1.86173524224,0.58,6.66510265152,0.74,4.80036856032,0.74,1.73163407665918,0.77
157,-2.24136461664,0.58,7.02883501344,0.74,4.785187536,0.74,1.39179292480043,0.77
158,-2.2244922,0.58,7.2913536288,0.74,5.0631258384,0.74,1.60694971926395,0.77
159,0.504708355296,0.58,4.41025877952,0.74,4.91254003872,0.74,0.657281090075201,0.77
160,-1.61288266176,0.58,7.12021170528,0.74,5.50251428256,0.74,1.8376246429271,0.77
161,-2.5316926272,0.58,8.29754527968,0.74,5.76004173408,0.74,3.02032090573916,0.77
162,-0.860416461504,0.58,5.92409641248,0.74,5.06144482272,0.74,1.43827315863191,0.77
163,-2.543314464,0.58,6.78396706272,0.74,4.24203269184,0.74,1.69336552596922,0.77
164,-1.70579509632,0.58,5.96818675584,0.74,4.26394815552,0.74,0.854827622272006,0.77
165,-9999,-9999,-9999,-9999,-9999,-9999,1.51114591410361,0.77
166,-1.656630576,0.58,7.28799159744,0.74,5.62715848224,0.74,2.26405129300562,0.77
167,-1.86576137856,0.58,7.8249723408,0.74,5.95351418688,0.74,2.31467116265807,0.77
168,-1.19332397664,0.58,6.47257447296,0.74,5.27695725888,0.74,1.64548139855192,0.77
169,-2.96415985248,0.58,7.37698166208,0.74,4.41397361664,0.74,2.17628289555975,0.77
170,-1.85093316,0.58,6.92093871072,0.74,5.0687811072,0.74,2.00036647487577,0.77
171,-1.98306929376,0.58,7.53270389856,0.74,5.54581600128,0.74,2.88354688224377,0.77
172,-1.2670396272,0.58,7.09159293216,0.74,5.82095261088,0.74,1.20341797227341,0.77
173,-1.89121527648,0.58,7.84325598048,0.74,5.9484607632,0.74,1.82122954496131,0.77
174,-1.44418962528,0.58,8.6471654112,0.74,7.19384434272,0.74,2.28674816582133,0.77
175,-1.38057044544,0.58,8.21625468192,0.74,6.82924034304,0.74,2.22144639783435,0.77
176,-2.57539903488,0.58,8.53235826624,0.74,5.95497729312,0.74,3.0752014392846,0.77
177,-2.24520397344,0.58,7.71033122208,0.74,5.46504423552,0.74,2.17610032149533,0.77
178,-2.12089182624,0.58,7.64283117888,0.74,5.52152428704,0.74,1.90982284821631,0.77
179,-0.0477892004544,0.58,5.86738807488,0.74,5.81786037216,0.74,1.27478521862032,0.77
180,-1.75337199072,0.58,8.03083450176,0.74,6.2734052448,0.74,2.52662074028821,0.77
181,-2.23847991072,0.58,8.26853219424,0.74,6.02682514848,0.74,2.22907956132374,0.77
182,-1.9883198736,0.58,7.9102164384,0.74,5.91905336544,0.74,1.73498107881796,0.77
183,-1.85884015968,0.58,7.539666624,0.74,5.67890678592,0.74,1.70772906773399,0.77
184,-1.35201393216,0.58,6.8734344528,0.74,5.51998854432,0.74,1.39377775054974,0.77
185,-2.56947397344,0.58,7.85066490144,0.74,5.28049569312,0.74,1.5977084615492,0.77
186,-2.84201642304,0.58,8.53164227808,0.74,5.687176968,0.74,1.99548702355812,0.77
187,0.931311741312,0.58,4.88519759232,0.74,5.81405214528,0.74,0.421026490588247,0.77
188,-1.99000088928,0.58,8.4884028192,0.74,6.4911590352,0.74,2.53888133474797,0.77
189,-1.4302641744,0.58,7.24514645088,0.74,5.80888457856,0.74,0.932754841692005,0.77
190,-2.31052492224,0.58,8.3631048912,0.74,6.0422655888,0.74,2.52686362234469,0.77
191,-1.27778982624,0.58,8.325437688,0.74,7.03002832704,0.74,2.92321219443831,0.77
192,-1.28417145984,0.58,8.0831950272,0.74,6.77576951712,0.74,2.24242362253185,0.77
193,-1.58692030848,0.58,7.82903998368,0.74,6.20942288256,0.74,1.53504124236759,0.77
194,-2.44409303232,0.58,7.24651616736,0.74,4.77022442112,0.74,1.36654682100595,0.77
195,-1.72782470304,0.58,6.49725012288,0.74,4.74261218208,0.74,1.28069531082366,0.77
196,-0.502620575328,0.58,5.60090558304,0.74,5.06604167424,0.74,1.8825288744633,0.77
197,-1.729785888,0.58,6.80237522208,0.74,5.03470422144,0.74,1.5730391254696,0.77
198,-0.589101568416,0.58,7.37547704928,0.74,6.7215723264,0.74,2.12650890278199,0.77
199,-0.710191768896,0.58,8.87215171968,0.74,8.06947710912,0.74,3.42118900981183,0.77
200,-0.293367328416,0.58,8.94063754368,0.74,8.55121262112,0.74,2.67009714608582,0.77
201,-2.43820947744,0.58,8.39093503968,0.74,5.91102184608,0.74,2.04883005861234,0.77
202,-2.10354208416,0.58,7.36208080704,0.74,5.23795146912,0.74,1.83480240066143,0.77
203,0.514933496352,0.58,4.51826922528,0.74,5.02733680704,0.74,0.637897364037531,0.77
204,-0.703767591072,0.58,6.510563352,0.74,5.80597911936,0.74,1.23478850291086,0.77
205,0.957886316352,0.58,5.02113157632,0.74,5.97785778432,0.74,0.985078357030505,0.77
206,0.31017333456,0.58,4.75565561856,0.74,5.06823114528,0.74,0.472384932565551,0.77
207,-1.28546853984,0.58,5.94718443648,0.74,4.66537885056,0.74,1.80083860919642,0.77
208,-9999,-9999,-9999,-9999,-9999,-9999,2.12317281009464,0.77
209,0.0620935024608,0.58,4.95247972608,0.74,5.01729221952,0.74,0.639827999070045,0.77
210,-0.810596137536,0.58,6.78042862848,0.74,5.96913103008,0.74,2.15949087387938,0.77
211,-0.713442770208,0.58,6.8414225184,0.74,6.1268352048,0.74,1.80581422870513,0.77
212,-0.793011883392,0.58,5.79603829824,0.74,5.00611657824,0.74,0.876211155624501,0.77
213,-0.902516565312,0.58,6.15663691488,0.74,5.2564426416,0.74,1.6746962548008,0.77
214,0.752281496064,0.58,6.22626416928,0.74,6.97939032384,0.74,1.59060796451546,0.77
215,-0.57772462032,0.58,6.1269389712,0.74,5.56020840096,0.74,0.673345480557688,0.77
216,-2.29622591232,0.58,7.02826429824,0.74,4.7495437776,0.74,2.44201406586534,0.77
217,-2.45877597792,0.58,6.85467348768,0.74,4.42194287616,0.74,1.98622987224365,0.77
218,-1.82508494976,0.58,6.88854284064,0.74,5.10171656256,0.74,1.26305282031446,0.77
219,0.508784299488,0.58,5.17919893344,0.74,5.73591604608,0.74,0.598493851976426,0.77
220,-1.82048809824,0.58,8.05083028704,0.74,6.27943407264,0.74,1.9994459258857,0.77
221,-1.24477135776,0.58,8.35987775616,0.74,7.16620097376,0.74,1.94494488479332,0.77
222,-0.277966319328,0.58,7.99938290592,0.74,7.77285047808,0.74,2.47668031419538,0.77
223,-0.369371028096,0.58,8.60714271072,0.74,8.28936848736,0.74,2.60908838436777,0.77
224,-1.238451984,0.58,8.29429739136,0.74,7.1040552768,0.74,1.87336832089417,0.77
225,-0.554882522688,0.58,8.68469771808,0.74,8.1800609616,0.74,2.02694337256498,0.77
226,-0.447424114176,0.58,7.82238855744,0.74,7.42268038464,0.74,1.50646252495842,0.77
227,3.1297502736,0.58,3.98568817728,0.74,7.16228898048,0.74,0.166905394998344,0.77
228,1.673752032,0.58,4.53150981792,0.74,6.23586256128,0.74,0.624503063576244,0.77
229,-1.39063578624,0.58,7.08752528928,0.74,5.70618697248,0.74,1.97037232482752,0.77
230,0.603163990944,0.58,5.73320774304,0.74,6.33337184736,0.74,0.998687334015407,0.77
231,-0.566095519872,0.58,5.86009329696,0.74,5.29174397088,0.74,1.29230134132655,0.77
232,-0.830386465344,0.58,5.94691464384,0.74,5.11392986784,0.74,1.7984091756537,0.77
233,-1.42827185952,0.58,6.204452472,0.74,4.77416754432,0.74,1.61490728189055,0.77
234,1.30183250112,0.58,3.4357573872,0.74,4.73575322304,0.74,0.481244917117124,0.77
235,-0.1032997624992,0.58,6.04334475936,0.74,5.93335237536,0.74,1.03421623597052,0.77
236,-0.397266549408,0.58,5.580297576,0.74,5.18063090976,0.74,1.3141154699894,0.77
237,-0.868089986784,0.58,5.52864266208,0.74,4.66052258304,0.74,1.3953172924445,0.77
238,0.370744895232,0.58,4.45190023584,0.74,4.822284024,0.74,1.02356617299612,0.77
239,-1.53902173824,0.58,6.55847229888,0.74,5.01848553312,0.74,1.82017387058934,0.77
240,-0.865679493312,0.58,5.86006216704,0.74,4.99384101312,0.74,1.49449117794798,0.77
241,-0.219312361728,0.58,5.2462216512,0.74,5.02647554592,0.74,1.1375469211277,0.77
242,-9999,-9999,-9999,-9999,-9999,-9999,0.481200600980586,0.77
243,-9999,-9999,-9999,-9999,-9999,-9999,1.29627532664031,0.77
