"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
191,0.497068035264,0.58,0.125399012080334,0.77,0.8759,0.08759
192,-0.88123096368,0.58,0.585019768718776,0.77,0.8769,0.08769
193,-1.82610186048,0.58,1.01385801328134,0.77,0.87821,0.087821
194,-0.891938618496,0.58,0.525085012575113,0.77,0.8785,0.08785
195,-0.966487513248,0.58,1.29832060308971,0.77,0.87849,0.087849
196,-0.57932262288,0.58,0.452481424566917,0.77,0.8777,0.08777
197,-1.39058390304,0.58,0.864129002713014,0.77,0.87749,0.087749
198,-0.7793116056,0.58,1.11519524840174,0.77,0.8775,0.08775
199,-1.65965017824,0.58,1.14031282852078,0.77,0.87792,0.087792
200,-0.223509712608,0.58,0.358004677665628,0.77,0.878,0.0878
201,-1.45358048448,0.58,1.61406289032285,0.77,0.87744,0.087744
202,-0.818134766496,0.58,0.511967024014444,0.77,0.87631,0.087631
203,-0.876699484992,0.58,0.49845411151386,0.77,0.87683,0.087683
204,-0.380515539456,0.58,0.909562421791683,0.77,0.87678,0.087678
205,-1.11951493632,0.58,1.13628049878888,0.77,0.87703,0.087703
206,-0.827586847872,0.58,0.385209591823884,0.77,0.87651,0.087651
207,-1.07170975584,0.58,0.627925183099289,0.77,0.87602,0.087602
208,-1.6699645584,0.58,0.968113162201577,0.77,0.87607,0.087607
209,-1.021693313376,0.58,1.05420637465981,0.77,0.87659,0.087659
210,-1.28833249248,0.58,1.50274149744251,0.77,0.8777,0.08777
211,-1.2445742016,0.58,1.13140665887738,0.77,0.87776,0.087776
212,-1.42981797888,0.58,1.42130102216357,0.77,0.87764,0.087764
213,-0.8966195208,0.58,1.50832809941511,0.77,0.87684,0.087684
214,-1.009846303488,0.58,1.14656154349732,0.77,0.87611,0.087611
215,-0.55098920736,0.58,0.543224414489147,0.77,0.87529,0.087529
216,-1.37138711904,0.58,0.690239138300561,0.77,0.87615,0.087615
217,0.0590313559968,0.58,0.229713296381594,0.77,0.87687,0.087687
218,-0.109502606592,0.58,0.505168207346951,0.77,0.87699,0.087699
219,-1.52307284256,0.58,0.798441458172443,0.77,0.87741,0.087741
220,-0.956166907104,0.58,0.880658103097815,0.77,0.87831,0.087831
221,0.293059142208,0.58,0.234913669294015,0.77,0.87894,0.087894
222,-1.18316524608,0.58,1.0999884540334,0.77,0.8796,0.08796
